"year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"17","Ryan Davis","Sr","UT",10,2,0.69,26,12,2,2,7,35,0,100,87,2,0,0,1,2,4,0,0,0,1,1,200,21,19,1,0,4,14,"6-3","R/R",597209,873,8883992,"http://stats.ncaa.org/players/8883992?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"15","Gavino Gomez","So","INF",1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"5-8","R/R",597209,873,8884975,"http://stats.ncaa.org/players/8884975?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"34","Amrbose Horwath","So","P",8,6,4.26,31.2,40,16,15,8,19,0,145,127,5,0,0,3,0,7,1,0,0,2,1,387,35,34,2,1,0,2,"6-1","L/L",597209,873,8884160,"http://stats.ncaa.org/players/8884160?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"36","Broc Shoemaker","Jr","P",11,1,3.54,20.1,28,9,8,6,19,0,96,88,3,0,0,1,1,0,1,0,0,2,0,324,26,14,1,1,0,1,"6-0","L/L",597209,873,8878912,"http://stats.ncaa.org/players/8878912?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"29","Jaxon Clark","Jr","P",10,10,3.27,63.1,59,29,23,15,37,0,266,244,12,3,0,4,4,5,0,0,0,1,1,874,63,83,6,2,0,10,"6-2","R/R",597209,873,8881182,"http://stats.ncaa.org/players/8881182?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"47","Tyler Pfirrman","So","P",7,0,1.59,5.2,2,1,1,6,2,0,27,18,0,1,0,0,1,3,0,0,0,0,0,131,7,7,0,0,0,0,"6-6","R/R",597209,873,8887151,"http://stats.ncaa.org/players/8887151?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"99","Brooks Tom","So","INF",3,0,2.7,3.1,5,1,1,0,0,0,16,14,1,0,0,0,1,2,0,0,0,0,0,43,5,3,0,0,0,0,"-","",597209,873,9116029,"http://stats.ncaa.org/players/9116029?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"21","Lincoln Lipinski","Jr","P",4,1,3.86,4.2,1,4,2,3,3,0,21,17,0,0,0,1,0,1,1,0,0,0,0,69,4,6,0,0,1,0,"6-1","R/R",597209,873,8889611,"http://stats.ncaa.org/players/8889611?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"99","Sammy Lafata","Jr","P",2,0,0,1.2,2,0,0,2,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,23,1,3,0,0,0,0,"-","",597209,873,8881501,"http://stats.ncaa.org/players/8881501?year_stat_category_id=15688"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"45","Daniel Gutierrez","Sr","P",4,1,4.15,13,12,6,6,5,10,0,57,49,2,0,1,2,0,2,0,0,0,0,1,156,14,13,0,1,2,3,"6-8","R/R",597209,873,8885579,"http://stats.ncaa.org/players/8885579?year_stat_category_id=15688"
